gene	sample	condition	age	cpm
ENSOCUG00000006223	rabA130	control	adult	7.38573090940301
ENSOCUG00000006223	rabA440	control	adult	4.55417356794555
ENSOCUG00000006223	rabA443	RHDV-1_24	adult	4.66312965898986
ENSOCUG00000006223	rabA444	RHDV-1_12	adult	3.37125182455804
ENSOCUG00000006223	rabA445	control	adult	2.30932875241569
ENSOCUG00000006223	rabA446	control	adult	5.40187985016937
ENSOCUG00000006223	rabA447	control	adult	3.0766426355113
ENSOCUG00000006223	rabA448	RHDV-1_24	adult	4.41363804309156
ENSOCUG00000006223	rabA449	RHDV-1_24	adult	2.12807514410607
ENSOCUG00000006223	rabA450	RHDV-1_24	adult	3.78325749962664
ENSOCUG00000006223	rabA451	RHDV-1_12	adult	1.81167856973077
ENSOCUG00000006223	rabA452	RHDV-1_12	adult	4.63811693471893
ENSOCUG00000006223	rabK10	RHDV-1_24	kitten	7.8272358930482
ENSOCUG00000006223	rabK11	control	kitten	4.30156019952317
ENSOCUG00000006223	rabK12	control	kitten	5.54886742650068
ENSOCUG00000006223	rabK13	RHDV-1_12	kitten	6.43198840982039
ENSOCUG00000006223	rabK14	control	kitten	5.28433750641419
ENSOCUG00000006223	rabK1	RHDV-1_12	kitten	36.1473778974708
ENSOCUG00000006223	rabK2	control	kitten	4.49818468249337
ENSOCUG00000006223	rabK375	RHDV-2_24	kitten	2.38961715976614
ENSOCUG00000006223	rabK376	RHDV-2_24	kitten	3.77313749309729
ENSOCUG00000006223	rabK377	RHDV-2_24	kitten	2.96360952515822
ENSOCUG00000006223	rabK378	RHDV-2_24	kitten	5.61251350799952
ENSOCUG00000006223	rabK379	RHDV-2_12	kitten	3.02355079992556
ENSOCUG00000006223	rabK380	RHDV-2_12	kitten	3.35887441473344
ENSOCUG00000006223	rabK381	RHDV-2_12	kitten	4.38676402336133
ENSOCUG00000006223	rabK3	control	kitten	4.41535239499378
ENSOCUG00000006223	rabK4	RHDV-1_24	kitten	3.85862717008069
ENSOCUG00000006223	rabK5	RHDV-1_12	kitten	36.7743187795958
ENSOCUG00000006223	rabK6	RHDV-1_24	kitten	2.88267103675396
ENSOCUG00000006223	rabK7	RHDV-1_12	kitten	31.864951996113
ENSOCUG00000006223	rabK8	RHDV-1_24	kitten	6.03880140428341
ENSOCUG00000006223	rabK9	control	kitten	9.89985445065894
ENSOCUG00000009559	rabA130	control	adult	0.721594399194547
ENSOCUG00000009559	rabA440	control	adult	0.610925722529282
ENSOCUG00000009559	rabA443	RHDV-1_24	adult	0.441106859634176
ENSOCUG00000009559	rabA444	RHDV-1_12	adult	1.05841627050078
ENSOCUG00000009559	rabA445	control	adult	0.602433587586703
ENSOCUG00000009559	rabA446	control	adult	0.385848560726384
ENSOCUG00000009559	rabA447	control	adult	0.917595171994597
ENSOCUG00000009559	rabA448	RHDV-1_24	adult	1.05458608109267
ENSOCUG00000009559	rabA449	RHDV-1_24	adult	1.22364320786099
ENSOCUG00000009559	rabA450	RHDV-1_24	adult	0.764700983967088
ENSOCUG00000009559	rabA451	RHDV-1_12	adult	1.06569327631222
ENSOCUG00000009559	rabA452	RHDV-1_12	adult	0.74959465611619
ENSOCUG00000009559	rabK10	RHDV-1_24	kitten	0.809714057901538
ENSOCUG00000009559	rabK11	control	kitten	0.681954665778064
ENSOCUG00000009559	rabK12	control	kitten	0.674862254574407
ENSOCUG00000009559	rabK13	RHDV-1_12	kitten	1.28639768196408
ENSOCUG00000009559	rabK14	control	kitten	0.432354886888434
ENSOCUG00000009559	rabK1	RHDV-1_12	kitten	1.6017400984508
ENSOCUG00000009559	rabK2	control	kitten	0.677808650786672
ENSOCUG00000009559	rabK375	RHDV-2_24	kitten	0.699400144321797
ENSOCUG00000009559	rabK376	RHDV-2_24	kitten	0.84473227457402
ENSOCUG00000009559	rabK377	RHDV-2_24	kitten	0.601983184797764
ENSOCUG00000009559	rabK378	RHDV-2_24	kitten	1.08629293703217
ENSOCUG00000009559	rabK379	RHDV-2_12	kitten	1.56054234834868
ENSOCUG00000009559	rabK380	RHDV-2_12	kitten	0.839718603683361
ENSOCUG00000009559	rabK381	RHDV-2_12	kitten	0.743519325993447
ENSOCUG00000009559	rabK3	control	kitten	0.810983092958041
ENSOCUG00000009559	rabK4	RHDV-1_24	kitten	1.04052867507794
ENSOCUG00000009559	rabK5	RHDV-1_12	kitten	1.30473929967029
ENSOCUG00000009559	rabK6	RHDV-1_24	kitten	1.02603545375988
ENSOCUG00000009559	rabK7	RHDV-1_12	kitten	2.02251638317297
ENSOCUG00000009559	rabK8	RHDV-1_24	kitten	1.27828642864393
ENSOCUG00000009559	rabK9	control	kitten	0.48615356677343
ENSOCUG00000011988	rabA130	control	adult	13.4556132085101
ENSOCUG00000011988	rabA440	control	adult	5.720486310956
ENSOCUG00000011988	rabA443	RHDV-1_24	adult	4.15900753369366
ENSOCUG00000011988	rabA444	RHDV-1_12	adult	4.27286568461426
ENSOCUG00000011988	rabA445	control	adult	6.1749442727637
ENSOCUG00000011988	rabA446	control	adult	20.4499737184983
ENSOCUG00000011988	rabA447	control	adult	14.5195941921498
ENSOCUG00000011988	rabA448	RHDV-1_24	adult	10.9755069921126
ENSOCUG00000011988	rabA449	RHDV-1_24	adult	3.88373713799358
ENSOCUG00000011988	rabA450	RHDV-1_24	adult	8.37146340342917
ENSOCUG00000011988	rabA451	RHDV-1_12	adult	4.74233507958937
ENSOCUG00000011988	rabA452	RHDV-1_12	adult	10.7754231816702
ENSOCUG00000011988	rabK10	RHDV-1_24	kitten	9.23074026007754
ENSOCUG00000011988	rabK11	control	kitten	0.577038563350669
ENSOCUG00000011988	rabK12	control	kitten	0.374923474763559
ENSOCUG00000011988	rabK13	RHDV-1_12	kitten	0.612570324744799
ENSOCUG00000011988	rabK14	control	kitten	13.4510409254179
ENSOCUG00000011988	rabK1	RHDV-1_12	kitten	0.735934639828746
ENSOCUG00000011988	rabK2	control	kitten	8.87313142848007
ENSOCUG00000011988	rabK375	RHDV-2_24	kitten	14.9205364121983
ENSOCUG00000011988	rabK376	RHDV-2_24	kitten	7.82785241105259
ENSOCUG00000011988	rabK377	RHDV-2_24	kitten	15.6978692035725
ENSOCUG00000011988	rabK378	RHDV-2_24	kitten	11.3457262312248
ENSOCUG00000011988	rabK379	RHDV-2_12	kitten	9.36325409009206
ENSOCUG00000011988	rabK380	RHDV-2_12	kitten	16.7943720736672
ENSOCUG00000011988	rabK381	RHDV-2_12	kitten	44.5368076270074
ENSOCUG00000011988	rabK3	control	kitten	9.6416878829456
ENSOCUG00000011988	rabK4	RHDV-1_24	kitten	8.23751867770035
ENSOCUG00000011988	rabK5	RHDV-1_12	kitten	0.579884133186794
ENSOCUG00000011988	rabK6	RHDV-1_24	kitten	0.342011817919962
ENSOCUG00000011988	rabK7	RHDV-1_12	kitten	0.165103378218202
ENSOCUG00000011988	rabK8	RHDV-1_24	kitten	0.749340320239547
ENSOCUG00000011988	rabK9	control	kitten	12.1538391693357
