ensembl_gene_id	hgnc_symbol	description	source	logFC	logCPM	LR	PValue	FDR
ENSOCUG00000026233	HRASLS2	HRAS like suppressor 2 	Source:HGNC Symbol;Acc:HGNC:17824	7.437693111	5.490546226	71.03156003	3.52E-17	8.32E-13
ENSOCUG00000029154				5.394795049	8.083367262	66.94636768	2.79E-16	3.30E-12
ENSOCUG00000009504	CD80	CD80 molecule 	Source:HGNC Symbol;Acc:HGNC:1700	3.527562111	2.311910633	63.28609094	1.79E-15	1.31E-11
ENSOCUG00000002863	IFIH1	interferon induced with helicase C domain 1 	Source:HGNC Symbol;Acc:HGNC:18873	3.385644761	5.739660416	62.86003728	2.22E-15	1.31E-11
ENSOCUG00000020931	SAMD9	sterile alpha motif domain containing 9 	Source:HGNC Symbol;Acc:HGNC:1348	4.636951091	4.736390063	59.74362318	1.08E-14	5.12E-11
ENSOCUG00000021037	MX2	MX dynamin like GTPase 2 	Source:HGNC Symbol;Acc:HGNC:7533	5.417125872	4.977851737	56.89558355	4.60E-14	1.81E-10
ENSOCUG00000010311	NXPE4	neurexophilin and PC-esterase domain family member 4 	Source:HGNC Symbol;Acc:HGNC:23117	3.725187379	2.102071717	55.56965556	9.02E-14	3.05E-10
ENSOCUG00000009811	ZNFX1	zinc finger NFX1-type containing 1 	Source:HGNC Symbol;Acc:HGNC:29271	2.641782693	7.437121559	54.97471282	1.22E-13	3.61E-10
ENSOCUG00000016280	CXCL10	C-X-C motif chemokine ligand 10 	Source:HGNC Symbol;Acc:HGNC:10637	6.824381377	7.771273208	53.81075115	2.21E-13	5.53E-10
ENSOCUG00000000716	EPSTI1	epithelial stromal interaction 1 	Source:HGNC Symbol;Acc:HGNC:16465	4.65794793	4.141294061	53.69918714	2.34E-13	5.53E-10
ENSOCUG00000004710	DDX58	DExD/H-box helicase 58 	Source:HGNC Symbol;Acc:HGNC:19102	3.337330169	8.209525658	50.39305402	1.26E-12	2.71E-09
ENSOCUG00000022941	DTX3L	deltex E3 ubiquitin ligase 3L 	Source:HGNC Symbol;Acc:HGNC:30323	2.710597161	6.142067654	49.46128542	2.02E-12	3.99E-09
ENSOCUG00000006595	UBA7	ubiquitin like modifier activating enzyme 7 	Source:HGNC Symbol;Acc:HGNC:12471	3.689291787	6.428022978	48.81879625	2.81E-12	4.87E-09
ENSOCUG00000021795				4.014891535	1.250064593	48.76916216	2.88E-12	4.87E-09
ENSOCUG00000027246				4.625968918	5.653933359	47.76557883	4.80E-12	7.58E-09
ENSOCUG00000007438	C3AR1	complement C3a receptor 1 	Source:HGNC Symbol;Acc:HGNC:1319	2.774809487	2.170516334	47.62523846	5.16E-12	7.63E-09
ENSOCUG00000003213	PARP12	poly(ADP-ribose) polymerase family member 12 	Source:HGNC Symbol;Acc:HGNC:21919	1.992610008	4.832387394	46.17593322	1.08E-11	1.51E-08
ENSOCUG00000002699	PARP9	poly(ADP-ribose) polymerase family member 9 	Source:HGNC Symbol;Acc:HGNC:24118	2.741429958	5.87374608	45.78991484	1.32E-11	1.68E-08
ENSOCUG00000012502				3.893764469	5.747846394	45.7386723	1.35E-11	1.68E-08
ENSOCUG00000024734				3.666595244	5.453699457	44.992617	1.98E-11	2.34E-08
ENSOCUG00000023802				2.76579383	2.185446372	44.76523227	2.22E-11	2.38E-08
ENSOCUG00000024763	TREX1	three prime repair exonuclease 1 	Source:HGNC Symbol;Acc:HGNC:12269	3.115949699	3.601260998	44.76156505	2.23E-11	2.38E-08
ENSOCUG00000008656				5.246157974	5.325353217	44.66059005	2.34E-11	2.38E-08
ENSOCUG00000024939	IFIT2	interferon induced protein with tetratricopeptide repeats 2 	Source:HGNC Symbol;Acc:HGNC:5409	4.169590723	6.260185895	44.60203248	2.41E-11	2.38E-08
ENSOCUG00000024492	ETV7	ETS variant 7 	Source:HGNC Symbol;Acc:HGNC:18160	5.848741958	3.562617185	44.34756189	2.75E-11	2.60E-08
ENSOCUG00000002183	PML	promyelocytic leukemia 	Source:HGNC Symbol;Acc:HGNC:9113	2.478987633	4.85556751	44.1893336	2.98E-11	2.71E-08
ENSOCUG00000006698		"Tumor necrosis factor Tumor necrosis factor, membrane form Intracellular domain 1 Intracellular domain 2 C-domain 1 C-domain 2 Tumor necrosis factor, soluble form "	Source:UniProtKB/Swiss-Prot;Acc:P04924	4.284643667	2.161211488	43.76420097	3.70E-11	3.25E-08
ENSOCUG00000008796	FAM46A	family with sequence similarity 46 member A 	Source:HGNC Symbol;Acc:HGNC:18345	2.033779878	5.430722788	42.88742081	5.80E-11	4.73E-08
ENSOCUG00000006482	IFI44	interferon induced protein 44 	Source:HGNC Symbol;Acc:HGNC:16938	3.709655557	5.712644067	42.88642482	5.80E-11	4.73E-08
ENSOCUG00000000619	SAMD9L	sterile alpha motif domain containing 9 like 	Source:HGNC Symbol;Acc:HGNC:1349	3.520646146	6.407587681	42.59133867	6.75E-11	5.32E-08
ENSOCUG00000003418	PARP14	poly(ADP-ribose) polymerase family member 14 	Source:HGNC Symbol;Acc:HGNC:29232	3.562745901	7.026432569	42.42721337	7.34E-11	5.60E-08
ENSOCUG00000023455				2.595583588	2.165161796	41.63114363	1.10E-10	8.14E-08
ENSOCUG00000003504				2.314373625	2.712720927	41.57515877	1.13E-10	8.14E-08
ENSOCUG00000006958	TMEM173	transmembrane protein 173 	Source:HGNC Symbol;Acc:HGNC:27962	4.782787921	1.63305742	39.80417873	2.81E-10	1.95E-07
ENSOCUG00000017251				5.191423851	7.710952253	39.56899637	3.17E-10	2.14E-07
ENSOCUG00000008117	CD274	CD274 molecule 	Source:HGNC Symbol;Acc:HGNC:17635	2.527211493	4.638722184	39.2244892	3.78E-10	2.48E-07
ENSOCUG00000003761	PHF11	PHD finger protein 11 	Source:HGNC Symbol;Acc:HGNC:17024	1.703293892	3.256695591	38.95096479	4.35E-10	2.78E-07
ENSOCUG00000011338	TRIM25	tripartite motif containing 25 	Source:HGNC Symbol;Acc:HGNC:12932	2.185664601	4.893923396	38.8462988	4.59E-10	2.86E-07
ENSOCUG00000022049	SHISA5	shisa family member 5 	Source:HGNC Symbol;Acc:HGNC:30376	2.112006661	4.386349044	37.88874144	7.49E-10	4.55E-07
ENSOCUG00000003764				3.31539015	4.132351491	37.75684266	8.01E-10	4.74E-07
ENSOCUG00000006561	XAF1	XIAP associated factor 1 	Source:HGNC Symbol;Acc:HGNC:30932	3.662992509	5.142382234	37.69248065	8.28E-10	4.78E-07
ENSOCUG00000026044				3.669409196	2.605779377	37.61219825	8.63E-10	4.86E-07
ENSOCUG00000004197				5.837266555	5.146169745	36.10740871	1.87E-09	1.03E-06
ENSOCUG00000010021	CMPK2	cytidine/uridine monophosphate kinase 2 	Source:HGNC Symbol;Acc:HGNC:27015	3.091897334	4.390485106	35.89920447	2.08E-09	1.12E-06
ENSOCUG00000014931				3.954729715	3.632662853	35.67782542	2.33E-09	1.22E-06
ENSOCUG00000025736	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1 	Source:HGNC Symbol;Acc:HGNC:604	2.938770155	4.027167463	35.56357836	2.47E-09	1.27E-06
ENSOCUG00000029688				3.875528204	5.907082468	35.44200999	2.63E-09	1.32E-06
ENSOCUG00000015179	ZMYND15	zinc finger MYND-type containing 15 	Source:HGNC Symbol;Acc:HGNC:20997	4.594519238	-0.470131156	35.13725151	3.07E-09	1.52E-06
ENSOCUG00000000557	NLRC5	NLR family CARD domain containing 5 	Source:HGNC Symbol;Acc:HGNC:29933	4.08827562	4.396752803	35.09025329	3.15E-09	1.52E-06
ENSOCUG00000011229	RNF114	ring finger protein 114 	Source:HGNC Symbol;Acc:HGNC:13094	1.361818375	4.910610419	34.61503053	4.02E-09	1.88E-06
ENSOCUG00000002135	TAP1	"transporter 1, ATP binding cassette subfamily B member "	Source:HGNC Symbol;Acc:HGNC:43	2.961240772	5.200106257	34.60242422	4.04E-09	1.88E-06
ENSOCUG00000013278	DHX58	DExH-box helicase 58 	Source:HGNC Symbol;Acc:HGNC:29517	2.866798647	5.753281961	34.53013381	4.20E-09	1.91E-06
ENSOCUG00000007312	CCDC82	coiled-coil domain containing 82 	Source:HGNC Symbol;Acc:HGNC:26282	0.977133642	3.798946333	34.25580382	4.83E-09	2.16E-06
ENSOCUG00000015872	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5 	Source:HGNC Symbol;Acc:HGNC:24368	3.030080771	5.695810444	33.67407019	6.52E-09	2.86E-06
ENSOCUG00000005445				4.476851968	4.114387788	33.54070185	6.98E-09	3.00E-06
ENSOCUG00000012157	RSAD2	radical S-adenosyl methionine domain containing 2 	Source:HGNC Symbol;Acc:HGNC:30908	6.686252306	5.655911157	32.88939545	9.76E-09	4.12E-06
ENSOCUG00000021710		C-C motif chemokine 2 precursor  	Source:RefSeq peptide;Acc:NP_001075763	4.002463646	3.56246917	32.21832041	1.38E-08	5.67E-06
ENSOCUG00000004104	MITD1	microtubule interacting and trafficking domain containing 1 	Source:HGNC Symbol;Acc:HGNC:25207	1.404156341	4.137589691	32.20344003	1.39E-08	5.67E-06
ENSOCUG00000002489				2.106221319	5.068680083	32.00117698	1.54E-08	6.18E-06
ENSOCUG00000004165	IRF1	interferon regulatory factor 1 	Source:HGNC Symbol;Acc:HGNC:6116	2.643662878	5.18838061	31.91397931	1.61E-08	6.36E-06
ENSOCUG00000029637				3.134224197	6.826579773	31.83111383	1.68E-08	6.53E-06
ENSOCUG00000017763	TLR3	toll like receptor 3 	Source:HGNC Symbol;Acc:HGNC:11849	2.037157018	6.170318871	31.70033446	1.80E-08	6.87E-06
ENSOCUG00000005016	NT5C3A	"5'-nucleotidase, cytosolic IIIA "	Source:HGNC Symbol;Acc:HGNC:17820	1.459221897	5.699992852	31.56707795	1.93E-08	7.24E-06
ENSOCUG00000003214	BTC	betacellulin 	Source:HGNC Symbol;Acc:HGNC:1121	6.929678508	-1.970394429	30.9952148	2.59E-08	9.57E-06
ENSOCUG00000000060	TDRD7	tudor domain containing 7 	Source:HGNC Symbol;Acc:HGNC:30831	1.46812068	6.38233841	30.80467597	2.85E-08	1.04E-05
ENSOCUG00000025530				2.660693762	3.747183172	30.58036601	3.20E-08	1.12E-05
ENSOCUG00000013253	CNP	"2',3'-cyclic nucleotide 3' phosphodiesterase "	Source:HGNC Symbol;Acc:HGNC:2158	1.864851077	4.556258889	30.5686225	3.22E-08	1.12E-05
ENSOCUG00000004742	USP25	ubiquitin specific peptidase 25 	Source:HGNC Symbol;Acc:HGNC:12624	1.923884726	5.829766795	30.56612929	3.23E-08	1.12E-05
ENSOCUG00000026515	CXCL11	C-X-C motif chemokine ligand 11 	Source:HGNC Symbol;Acc:HGNC:10638	6.842046523	4.493978664	30.49738105	3.34E-08	1.15E-05
ENSOCUG00000007223	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 	Source:HGNC Symbol;Acc:HGNC:9437	2.538554658	3.813479224	30.23367421	3.83E-08	1.30E-05
