ensembl_gene_id	hgnc_symbol	description	source	logFC	logCPM	LR	PValue	FDR
ENSOCUG00000024623				-6.221938395	2.049243148	84.24170296	4.38E-20	1.04E-15
ENSOCUG00000002051				-7.952470607	0.229171753	62.28366462	2.97E-15	3.52E-11
ENSOCUG00000025827	NAT8	N-acetyltransferase 8 (putative) 	Source:HGNC Symbol;Acc:HGNC:18069	-4.081277701	5.317898728	57.3830283	3.59E-14	2.83E-10
ENSOCUG00000020913				6.109718257	-0.795738989	54.53541975	1.53E-13	9.03E-10
ENSOCUG00000028214				-7.643884058	0.061179047	49.82361715	1.68E-12	7.96E-09
ENSOCUG00000029158				-5.009510465	2.463018601	48.52710532	3.26E-12	1.28E-08
ENSOCUG00000012529				1.864552397	5.666445621	48.22649468	3.80E-12	1.28E-08
ENSOCUG00000024402				2.595678318	3.593069266	46.86748574	7.60E-12	2.25E-08
ENSOCUG00000003017	ERICH3	glutamate rich 3 	Source:HGNC Symbol;Acc:HGNC:25346	3.621825203	1.630119805	46.35723863	9.85E-12	2.59E-08
ENSOCUG00000000308				-8.576696157	0.755899821	45.99856252	1.18E-11	2.80E-08
ENSOCUG00000023193				2.42755786	1.252095761	43.6439036	3.94E-11	8.48E-08
ENSOCUG00000026094				3.669388121	0.875054605	41.45124153	1.21E-10	2.38E-07
ENSOCUG00000008904	RNASEH2B	ribonuclease H2 subunit B 	Source:HGNC Symbol;Acc:HGNC:25671	-1.311054873	4.010528616	40.0679976	2.45E-10	4.47E-07
ENSOCUG00000023762				2.561405229	1.07959542	39.46887856	3.33E-10	5.64E-07
ENSOCUG00000014028				-2.53039466	1.524834238	35.4838121	2.57E-09	4.06E-06
ENSOCUG00000010659	ADAM23	ADAM metallopeptidase domain 23 	Source:HGNC Symbol;Acc:HGNC:202	-2.373926387	1.618352389	35.33199556	2.78E-09	4.11E-06
ENSOCUG00000008239	CAB39L	calcium binding protein 39 like 	Source:HGNC Symbol;Acc:HGNC:20290	-1.24046267	2.834899229	33.84093591	5.98E-09	8.08E-06
ENSOCUG00000029489				-2.544027696	6.948974606	33.7876556	6.15E-09	8.08E-06
ENSOCUG00000024754	GNAT3	G protein subunit alpha transducin 3 	Source:HGNC Symbol;Acc:HGNC:22800	-6.035883056	1.239352489	33.29674428	7.91E-09	9.86E-06
ENSOCUG00000010729	RASL12	RAS like family 12 	Source:HGNC Symbol;Acc:HGNC:30289	2.255051775	0.433463612	32.21714953	1.38E-08	1.63E-05
ENSOCUG00000006642	XRCC5	X-ray repair cross complementing 5 	Source:HGNC Symbol;Acc:HGNC:12833	-1.058434755	5.260539462	31.08958734	2.46E-08	2.78E-05
ENSOCUG00000011514	MFAP3L	microfibrillar associated protein 3 like 	Source:HGNC Symbol;Acc:HGNC:29083	2.687388003	2.061007658	30.9728513	2.62E-08	2.82E-05
ENSOCUG00000004843				-3.642404573	-0.460440404	30.79416164	2.87E-08	2.95E-05
ENSOCUG00000009852	RSPH4A	radial spoke head 4 homolog A 	Source:HGNC Symbol;Acc:HGNC:21558	2.650331713	2.049649539	30.11303417	4.08E-08	3.81E-05
ENSOCUG00000024765				-2.059874889	1.134195773	30.07225042	4.16E-08	3.81E-05
ENSOCUG00000010063	LRRC49	leucine rich repeat containing 49 	Source:HGNC Symbol;Acc:HGNC:25965	-1.861360681	1.3179578	30.06188711	4.18E-08	3.81E-05
ENSOCUG00000027125				8.076907764	-0.030441373	29.7151268	5.00E-08	4.39E-05
