gene	sample	condition	age	cpm
ENSOCUG00000000001	rabA130	control	adult	48.6015051222209
ENSOCUG00000000001	rabA440	control	adult	5.720486310956
ENSOCUG00000000001	rabA443	RHDV-1_24	adult	14.4304958366038
ENSOCUG00000000001	rabA444	RHDV-1_12	adult	13.5242079008433
ENSOCUG00000000001	rabA445	control	adult	23.193693122088
ENSOCUG00000000001	rabA446	control	adult	35.5623756802817
ENSOCUG00000000001	rabA447	control	adult	24.4512125243266
ENSOCUG00000000001	rabA448	RHDV-1_24	adult	9.95997965476414
ENSOCUG00000000001	rabA449	RHDV-1_24	adult	8.08668554760308
ENSOCUG00000000001	rabA450	RHDV-1_24	adult	39.1204924429478
ENSOCUG00000000001	rabA451	RHDV-1_12	adult	21.1540115347975
ENSOCUG00000000001	rabA452	RHDV-1_12	adult	35.3246481694755
ENSOCUG00000000001	rabK10	RHDV-1_24	kitten	7.88121683024164
ENSOCUG00000000001	rabK11	control	kitten	7.34412716991761
ENSOCUG00000000001	rabK12	control	kitten	5.02397456183169
ENSOCUG00000000001	rabK13	RHDV-1_12	kitten	7.65712905930999
ENSOCUG00000000001	rabK14	control	kitten	13.8353563804299
ENSOCUG00000000001	rabK1	RHDV-1_12	kitten	6.14721875621659
ENSOCUG00000000001	rabK2	control	kitten	2.52637769838669
ENSOCUG00000000001	rabK375	RHDV-2_24	kitten	0.932533525762397
ENSOCUG00000000001	rabK376	RHDV-2_24	kitten	1.01367872948882
ENSOCUG00000000001	rabK377	RHDV-2_24	kitten	6.06613824680823
ENSOCUG00000000001	rabK378	RHDV-2_24	kitten	0.724195291354777
ENSOCUG00000000001	rabK379	RHDV-2_12	kitten	1.56054234834868
ENSOCUG00000000001	rabK380	RHDV-2_12	kitten	0.883914319666695
ENSOCUG00000000001	rabK381	RHDV-2_12	kitten	2.156206045381
ENSOCUG00000000001	rabK3	control	kitten	8.69554094116122
ENSOCUG00000000001	rabK4	RHDV-1_24	kitten	3.90198253154227
ENSOCUG00000000001	rabK5	RHDV-1_12	kitten	2.31953653274717
ENSOCUG00000000001	rabK6	RHDV-1_24	kitten	12.2147077828558
ENSOCUG00000000001	rabK7	RHDV-1_12	kitten	6.35648006140077
ENSOCUG00000000001	rabK8	RHDV-1_24	kitten	4.9368303451076
ENSOCUG00000000001	rabK9	control	kitten	5.61286390729324
ENSOCUG00000000013	rabA130	control	adult	6.15477575783584
ENSOCUG00000000013	rabA440	control	adult	8.55296011540994
ENSOCUG00000000013	rabA443	RHDV-1_24	adult	6.23851130054049
ENSOCUG00000000013	rabA444	RHDV-1_12	adult	6.62490184128267
ENSOCUG00000000013	rabA445	control	adult	6.47616106655705
ENSOCUG00000000013	rabA446	control	adult	5.01603128944299
ENSOCUG00000000013	rabA447	control	adult	6.69304713690177
ENSOCUG00000000013	rabA448	RHDV-1_24	adult	6.13222276783518
ENSOCUG00000000013	rabA449	RHDV-1_24	adult	5.53299537467579
ENSOCUG00000000013	rabA450	RHDV-1_24	adult	4.02474202087941
ENSOCUG00000000013	rabA451	RHDV-1_12	adult	7.29999894273869
ENSOCUG00000000013	rabA452	RHDV-1_12	adult	6.37155457698762
ENSOCUG00000000013	rabK10	RHDV-1_24	kitten	11.6598824337822
ENSOCUG00000000013	rabK11	control	kitten	13.2194289058517
ENSOCUG00000000013	rabK12	control	kitten	13.27229100663
ENSOCUG00000000013	rabK13	RHDV-1_12	kitten	14.5791737289262
ENSOCUG00000000013	rabK14	control	kitten	9.99220183031047
ENSOCUG00000000013	rabK1	RHDV-1_12	kitten	12.8572110605375
ENSOCUG00000000013	rabK2	control	kitten	12.8783643649468
ENSOCUG00000000013	rabK375	RHDV-2_24	kitten	9.55846863906456
ENSOCUG00000000013	rabK376	RHDV-2_24	kitten	13.1215079983831
ENSOCUG00000000013	rabK377	RHDV-2_24	kitten	8.70560298015227
ENSOCUG00000000013	rabK378	RHDV-2_24	kitten	9.5955876104508
ENSOCUG00000000013	rabK379	RHDV-2_12	kitten	9.50955493524975
ENSOCUG00000000013	rabK380	RHDV-2_12	kitten	5.83383450980019
ENSOCUG00000000013	rabK381	RHDV-2_12	kitten	9.81445510311349
ENSOCUG00000000013	rabK3	control	kitten	10.0471794294246
ENSOCUG00000000013	rabK4	RHDV-1_24	kitten	10.1885099434715
ENSOCUG00000000013	rabK5	RHDV-1_12	kitten	11.4527116304392
ENSOCUG00000000013	rabK6	RHDV-1_24	kitten	9.86948388854746
ENSOCUG00000000013	rabK7	RHDV-1_12	kitten	9.24578918021931
ENSOCUG00000000013	rabK8	RHDV-1_24	kitten	8.02234931079986
ENSOCUG00000000013	rabK9	control	kitten	11.1815320357889
ENSOCUG00000000017	rabA130	control	adult	10.1023215887237
ENSOCUG00000000017	rabA440	control	adult	3.88770914336816
ENSOCUG00000000017	rabA443	RHDV-1_24	adult	2.77267168912911
ENSOCUG00000000017	rabA444	RHDV-1_12	adult	7.56571630395003
ENSOCUG00000000017	rabA445	control	adult	8.13285343242048
ENSOCUG00000000017	rabA446	control	adult	6.88096599962051
ENSOCUG00000000017	rabA447	control	adult	5.61352340514342
ENSOCUG00000000017	rabA448	RHDV-1_24	adult	5.6635178429051
ENSOCUG00000000017	rabA449	RHDV-1_24	adult	5.47979349607314
ENSOCUG00000000017	rabA450	RHDV-1_24	adult	6.76156659507741
ENSOCUG00000000017	rabA451	RHDV-1_12	adult	7.99269957234163
ENSOCUG00000000017	rabA452	RHDV-1_12	adult	8.62033854533619
ENSOCUG00000000017	rabK10	RHDV-1_24	kitten	4.53439872424861
ENSOCUG00000000017	rabK11	control	kitten	4.51139240437796
ENSOCUG00000000017	rabK12	control	kitten	2.77443371325034
ENSOCUG00000000017	rabK13	RHDV-1_12	kitten	2.63405239640264
ENSOCUG00000000017	rabK14	control	kitten	3.12256307197202
ENSOCUG00000000017	rabK1	RHDV-1_12	kitten	2.42425528414175
ENSOCUG00000000017	rabK2	control	kitten	3.4506622221867
ENSOCUG00000000017	rabK375	RHDV-2_24	kitten	0.990816871122546
ENSOCUG00000000017	rabK376	RHDV-2_24	kitten	2.02735745897765
ENSOCUG00000000017	rabK377	RHDV-2_24	kitten	1.89856235205449
ENSOCUG00000000017	rabK378	RHDV-2_24	kitten	1.93118744361274
ENSOCUG00000000017	rabK379	RHDV-2_12	kitten	3.755055025714
ENSOCUG00000000017	rabK380	RHDV-2_12	kitten	4.90572447415016
ENSOCUG00000000017	rabK381	RHDV-2_12	kitten	4.68417175375871
ENSOCUG00000000017	rabK3	control	kitten	5.09117163912548
ENSOCUG00000000017	rabK4	RHDV-1_24	kitten	4.85580048369705
ENSOCUG00000000017	rabK5	RHDV-1_12	kitten	4.20415996560425
ENSOCUG00000000017	rabK6	RHDV-1_24	kitten	4.83702428201088
ENSOCUG00000000017	rabK7	RHDV-1_12	kitten	6.23265252773712
ENSOCUG00000000017	rabK8	RHDV-1_24	kitten	4.40788423670322
ENSOCUG00000000017	rabK9	control	kitten	4.02181587058019
ENSOCUG00000000024	rabA130	control	adult	2.2921233856768
ENSOCUG00000000024	rabA440	control	adult	3.77663173927192
ENSOCUG00000000024	rabA443	RHDV-1_24	adult	2.77267168912911
ENSOCUG00000000024	rabA444	RHDV-1_12	adult	4.35126688983654
ENSOCUG00000000024	rabA445	control	adult	2.30932875241569
ENSOCUG00000000024	rabA446	control	adult	2.2507832709039
ENSOCUG00000000024	rabA447	control	adult	2.10507127692878
ENSOCUG00000000024	rabA448	RHDV-1_24	adult	4.14022683688235
ENSOCUG00000000024	rabA449	RHDV-1_24	adult	3.77733338078828
ENSOCUG00000000024	rabA450	RHDV-1_24	adult	2.65632973378041
ENSOCUG00000000024	rabA451	RHDV-1_12	adult	3.94306512235521
ENSOCUG00000000024	rabA452	RHDV-1_12	adult	2.62358129640667
ENSOCUG00000000024	rabK10	RHDV-1_24	kitten	22.4560698724693
ENSOCUG00000000024	rabK11	control	kitten	18.2554018223666
ENSOCUG00000000024	rabK12	control	kitten	20.7707605019012
ENSOCUG00000000024	rabK13	RHDV-1_12	kitten	11.1487799103553
ENSOCUG00000000024	rabK14	control	kitten	7.92650625962129
ENSOCUG00000000024	rabK1	RHDV-1_12	kitten	6.66670203138982
ENSOCUG00000000024	rabK2	control	kitten	7.51751412690673
ENSOCUG00000000024	rabK375	RHDV-2_24	kitten	2.68103388656689
ENSOCUG00000000024	rabK376	RHDV-2_24	kitten	2.64682779366526
ENSOCUG00000000024	rabK377	RHDV-2_24	kitten	3.19514151931121
ENSOCUG00000000024	rabK378	RHDV-2_24	kitten	3.1985292034836
ENSOCUG00000000024	rabK379	RHDV-2_12	kitten	3.51122028378452
ENSOCUG00000000024	rabK380	RHDV-2_12	kitten	5.56866021390018
ENSOCUG00000000024	rabK381	RHDV-2_12	kitten	3.79194856256658
ENSOCUG00000000024	rabK3	control	kitten	5.81204549953263
ENSOCUG00000000024	rabK4	RHDV-1_24	kitten	4.33553614615808
ENSOCUG00000000024	rabK5	RHDV-1_12	kitten	6.18543075399247
ENSOCUG00000000024	rabK6	RHDV-1_24	kitten	3.37125934806819
ENSOCUG00000000024	rabK7	RHDV-1_12	kitten	5.69606654852797
ENSOCUG00000000024	rabK8	RHDV-1_24	kitten	3.39407086226148
ENSOCUG00000000024	rabK9	control	kitten	9.36950510508792
ENSOCUG00000000031	rabA130	control	adult	0
ENSOCUG00000000031	rabA440	control	adult	0.16661610614435
ENSOCUG00000000031	rabA443	RHDV-1_24	adult	0.378091593972151
ENSOCUG00000000031	rabA444	RHDV-1_12	adult	0.15680241044456
ENSOCUG00000000031	rabA445	control	adult	0.100405597931117
ENSOCUG00000000031	rabA446	control	adult	0.0643080934543973
ENSOCUG00000000031	rabA447	control	adult	0.269880932939587
ENSOCUG00000000031	rabA448	RHDV-1_24	adult	1.32799728730189
ENSOCUG00000000031	rabA449	RHDV-1_24	adult	0.532018786026518
ENSOCUG00000000031	rabA450	RHDV-1_24	adult	0.523216462714323
ENSOCUG00000000031	rabA451	RHDV-1_12	adult	0.266423319078054
ENSOCUG00000000031	rabA452	RHDV-1_12	adult	0.140548998021786
ENSOCUG00000000031	rabK10	RHDV-1_24	kitten	9.7705496320119
ENSOCUG00000000031	rabK11	control	kitten	12.642390342501
ENSOCUG00000000031	rabK12	control	kitten	9.14813278423085
ENSOCUG00000000031	rabK13	RHDV-1_12	kitten	4.71679150053496
ENSOCUG00000000031	rabK14	control	kitten	4.5637460282668
ENSOCUG00000000031	rabK1	RHDV-1_12	kitten	1.94806228189962
ENSOCUG00000000031	rabK2	control	kitten	2.34152079362669
ENSOCUG00000000031	rabK375	RHDV-2_24	kitten	0.407983417521048
ENSOCUG00000000031	rabK376	RHDV-2_24	kitten	0.112630969943203
ENSOCUG00000000031	rabK377	RHDV-2_24	kitten	0.83351517895075
ENSOCUG00000000031	rabK378	RHDV-2_24	kitten	0.603496076128981
ENSOCUG00000000031	rabK379	RHDV-2_12	kitten	0.585203380630754
ENSOCUG00000000031	rabK380	RHDV-2_12	kitten	0.795522887700026
ENSOCUG00000000031	rabK381	RHDV-2_12	kitten	0.520463528195413
ENSOCUG00000000031	rabK3	control	kitten	1.98240311611966
ENSOCUG00000000031	rabK4	RHDV-1_24	kitten	1.17059475946268
ENSOCUG00000000031	rabK5	RHDV-1_12	kitten	1.98127078838821
ENSOCUG00000000031	rabK6	RHDV-1_24	kitten	1.36804727167985
ENSOCUG00000000031	rabK7	RHDV-1_12	kitten	0.990620269309212
ENSOCUG00000000031	rabK8	RHDV-1_24	kitten	0.39670958130329
ENSOCUG00000000031	rabK9	control	kitten	4.81733988893671
ENSOCUG00000000061	rabA130	control	adult	1.1460616928384
ENSOCUG00000000061	rabA440	control	adult	1.99939327373219
ENSOCUG00000000061	rabA443	RHDV-1_24	adult	2.20553429817088
