color	gene	count	sample	linear
steelblue	ENSOCUG00000000001	1145	A130	1
steelblue	ENSOCUG00000000003	1766	A130	101
steelblue	ENSOCUG00000000004	872	A130	201
steelblue	ENSOCUG00000000005	294	A130	301
steelblue	ENSOCUG00000000006	520	A130	401
steelblue	ENSOCUG00000000007	16	A130	501
steelblue	ENSOCUG00000000008	0	A130	601
steelblue	ENSOCUG00000000009	1412	A130	701
steelblue	ENSOCUG00000000010	384	A130	801
steelblue	ENSOCUG00000000012	1386	A130	901
red	ENSOCUG00000000001	142	K1	1001
red	ENSOCUG00000000003	1752	K1	1101
red	ENSOCUG00000000004	384	K1	1201
red	ENSOCUG00000000005	169	K1	1301
red	ENSOCUG00000000006	531	K1	1401
red	ENSOCUG00000000007	45	K1	1501
red	ENSOCUG00000000008	0	K1	1601
red	ENSOCUG00000000009	2211	K1	1701
red	ENSOCUG00000000010	395	K1	1801
red	ENSOCUG00000000012	1521	K1	1901
