ensembl_gene_id	hgnc_symbol	description	source	logFC	logCPM	LR	PValue	FDR
ENSOCUG00000005528	HAL	histidine ammonia-lyase 	Source:HGNC Symbol;Acc:HGNC:4806	2.925121998	6.456405385	99.9552076	1.56E-23	3.69E-19
ENSOCUG00000014137	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2 	Source:HGNC Symbol;Acc:HGNC:14526	-3.84191651	2.096539444	84.42941793	3.98E-20	4.71E-16
ENSOCUG00000002950	HN1	hematological and neurological expressed 1 	Source:HGNC Symbol;Acc:HGNC:14569	-1.867988985	3.076969808	80.78172767	2.52E-19	1.99E-15
ENSOCUG00000003663	ACTG2	"actin, gamma 2, smooth muscle, enteric "	Source:HGNC Symbol;Acc:HGNC:145	-2.250835476	2.441830897	68.61268295	1.20E-16	7.09E-13
ENSOCUG00000014725				6.913486144	4.652894749	67.72090209	1.88E-16	8.92E-13
ENSOCUG00000014317	PIGR	polymeric immunoglobulin receptor 	Source:HGNC Symbol;Acc:HGNC:8968	2.284831072	13.21737856	61.46269842	4.51E-15	1.70E-11
ENSOCUG00000023455				-3.01426619	2.165161796	61.25225164	5.02E-15	1.70E-11
ENSOCUG00000002858	CDK1	cyclin dependent kinase 1 	Source:HGNC Symbol;Acc:HGNC:1722	-4.70305083	3.552820403	60.16252262	8.73E-15	2.35E-11
ENSOCUG00000012902				-3.969915169	6.125791411	59.95866469	9.69E-15	2.35E-11
ENSOCUG00000009882	NCAPH	non-SMC condensin I complex subunit H 	Source:HGNC Symbol;Acc:HGNC:1112	-2.89064336	1.632643286	59.91170689	9.92E-15	2.35E-11
ENSOCUG00000011340	CDC20	cell division cycle 20 	Source:HGNC Symbol;Acc:HGNC:1723	-5.134635132	2.715769062	59.20917241	1.42E-14	2.85E-11
ENSOCUG00000012176	UBE2C	ubiquitin conjugating enzyme E2 C 	Source:HGNC Symbol;Acc:HGNC:15937	-5.146471837	1.928214954	59.09387303	1.50E-14	2.85E-11
ENSOCUG00000000754	CYP39A1	cytochrome P450 family 39 subfamily A member 1 	Source:HGNC Symbol;Acc:HGNC:17449	5.994002525	5.90043643	59.01147056	1.57E-14	2.85E-11
ENSOCUG00000009679	THEM5	thioesterase superfamily member 5 	Source:HGNC Symbol;Acc:HGNC:26755	2.795687599	0.820226222	58.77333333	1.77E-14	2.99E-11
ENSOCUG00000004340	CCNB1	cyclin B1 	Source:HGNC Symbol;Acc:HGNC:1579	-4.820925736	3.218925159	58.48982568	2.04E-14	3.22E-11
ENSOCUG00000015068	KIF23	kinesin family member 23 	Source:HGNC Symbol;Acc:HGNC:6392	-4.424688683	1.277674651	58.16601138	2.41E-14	3.56E-11
ENSOCUG00000006962	ALDH1L2	aldehyde dehydrogenase 1 family member L2 	Source:HGNC Symbol;Acc:HGNC:26777	-3.976955407	3.67322391	57.31408217	3.71E-14	5.17E-11
ENSOCUG00000003277	NUSAP1	nucleolar and spindle associated protein 1 	Source:HGNC Symbol;Acc:HGNC:18538	-3.312090882	1.430267421	57.08779596	4.17E-14	5.48E-11
ENSOCUG00000002926	DLGAP5	DLG associated protein 5 	Source:HGNC Symbol;Acc:HGNC:16864	-4.57534366	1.629790059	56.88315102	4.62E-14	5.76E-11
ENSOCUG00000002337	PRR11	proline rich 11 	Source:HGNC Symbol;Acc:HGNC:25619	-4.95726477	0.988656428	54.75001792	1.37E-13	1.62E-10
ENSOCUG00000017806	DYNLL1	dynein light chain LC8-type 1 	Source:HGNC Symbol;Acc:HGNC:15476	-1.559605491	5.660862813	53.8099533	2.21E-13	2.49E-10
ENSOCUG00000006380	LECT2	leukocyte cell derived chemotaxin 2 	Source:HGNC Symbol;Acc:HGNC:6550	-1.972953732	8.584483238	53.27691134	2.90E-13	3.12E-10
ENSOCUG00000003712	TCEAL9	transcription elongation factor A like 9 	Source:HGNC Symbol;Acc:HGNC:30084	-1.935623837	1.387127096	52.97309982	3.38E-13	3.48E-10
